month,price kr/GJ
2019M01,50.09
2019M02,41.64
2019M03,36.06
2019M04,34.48
2019M05,30.55
2019M06,25.02
2019M07,25.41
2019M08,26.0
2019M09,30.08
2019M10,36.04
2019M11,36.72
2019M12,32.78
2020M01,25.8
2020M02,21.01
2020M03,19.37
2020M04,15.36
2020M05,11.37
2020M06,12.24
2020M07,12.34
2020M08,19.0
2020M09,26.3
2020M10,32.59
2020M11,32.08
2020M12,37.78
2021M01,46.85
2021M02,39.93
2021M03,40.38
2021M04,46.77
2021M05,57.52
2021M06,67.07
2021M07,83.0
2021M08,102.78
2021M09,152.19
2021M10,210.01
2021M11,189.85
2021M12,263.87
2022M01,196.02
2022M02,188.41
2022M03,301.9
2022M04,233.65
2022M05,216.47
2022M06,249.39
2022M07,395.86
2022M08,542.64
2022M09,468.15
2022M10,311.6
2022M11,274.84
2022M12,267.01
2023M01,147.04
2023M02,121.19
2023M03,101.32
2023M04,96.85
2023M05,79.41
2023M06,81.32
2023M07,75.0
2023M08,87.96
2023M09,90.83
2023M10,114.63
2023M11,113.93
2023M12,90.48
2024M01,75.18
