Kategori: Alle kategorier

Uge,Solcelle: (Danmark)
2019-04-21,24
2019-04-28,20
2019-05-05,15
2019-05-12,18
2019-05-19,23
2019-05-26,17
2019-06-02,22
2019-06-09,25
2019-06-16,23
2019-06-23,18
2019-06-30,18
2019-07-07,15
2019-07-14,16
2019-07-21,21
2019-07-28,17
2019-08-04,15
2019-08-11,11
2019-08-18,15
2019-08-25,13
2019-09-01,12
2019-09-08,12
2019-09-15,15
2019-09-22,15
2019-09-29,14
2019-10-06,15
2019-10-13,10
2019-10-20,13
2019-10-27,12
2019-11-03,13
2019-11-10,14
2019-11-17,13
2019-11-24,13
2019-12-01,14
2019-12-08,14
2019-12-15,11
2019-12-22,10
2019-12-29,8
2020-01-05,12
2020-01-12,11
2020-01-19,13
2020-01-26,13
2020-02-02,13
2020-02-09,13
2020-02-16,12
2020-02-23,14
2020-03-01,15
2020-03-08,15
2020-03-15,13
2020-03-22,16
2020-03-29,17
2020-04-05,20
2020-04-12,22
2020-04-19,29
2020-04-26,25
2020-05-03,26
2020-05-10,27
2020-05-17,25
2020-05-24,27
2020-05-31,25
2020-06-07,27
2020-06-14,27
2020-06-21,23
2020-06-28,20
2020-07-05,15
2020-07-12,19
2020-07-19,17
2020-07-26,13
2020-08-02,21
2020-08-09,23
2020-08-16,19
2020-08-23,18
2020-08-30,14
2020-09-06,14
2020-09-13,17
2020-09-20,19
2020-09-27,17
2020-10-04,15
2020-10-11,15
2020-10-18,18
2020-10-25,18
2020-11-01,13
2020-11-08,17
2020-11-15,17
2020-11-22,16
2020-11-29,15
2020-12-06,14
2020-12-13,13
2020-12-20,8
2020-12-27,12
2021-01-03,13
2021-01-10,14
2021-01-17,15
2021-01-24,12
2021-01-31,16
2021-02-07,16
2021-02-14,14
2021-02-21,15
2021-02-28,17
2021-03-07,19
2021-03-14,18
2021-03-21,20
2021-03-28,26
2021-04-04,21
2021-04-11,20
2021-04-18,23
2021-04-25,21
2021-05-02,21
2021-05-09,21
2021-05-16,17
2021-05-23,20
2021-05-30,22
2021-06-06,25
2021-06-13,23
2021-06-20,18
2021-06-27,18
2021-07-04,18
2021-07-11,22
2021-07-18,19
2021-07-25,18
2021-08-01,16
2021-08-08,16
2021-08-15,15
2021-08-22,16
2021-08-29,13
2021-09-05,14
2021-09-12,17
2021-09-19,19
2021-09-26,17
2021-10-03,21
2021-10-10,20
2021-10-17,19
2021-10-24,21
2021-10-31,21
2021-11-07,19
2021-11-14,18
2021-11-21,16
2021-11-28,15
2021-12-05,15
2021-12-12,13
2021-12-19,13
2021-12-26,14
2022-01-02,23
2022-01-09,26
2022-01-16,24
2022-01-23,24
2022-01-30,22
2022-02-06,20
2022-02-13,21
2022-02-20,25
2022-02-27,34
2022-03-06,61
2022-03-13,43
2022-03-20,40
2022-03-27,37
2022-04-03,38
2022-04-10,37
2022-04-17,55
2022-04-24,43
2022-05-01,39
2022-05-08,41
2022-05-15,39
2022-05-22,34
2022-05-29,31
2022-06-05,36
2022-06-12,38
2022-06-19,39
2022-06-26,39
2022-07-03,29
2022-07-10,42
2022-07-17,36
2022-07-24,37
2022-07-31,38
2022-08-07,38
2022-08-14,60
2022-08-21,100
2022-08-28,98
2022-09-04,98
2022-09-11,84
2022-09-18,72
2022-09-25,75
2022-10-02,68
2022-10-09,53
2022-10-16,50
2022-10-23,43
2022-10-30,40
2022-11-06,37
2022-11-13,34
2022-11-20,28
2022-11-27,28
2022-12-04,32
2022-12-11,26
2022-12-18,23
2022-12-25,24
2023-01-01,24
2023-01-08,24
2023-01-15,27
2023-01-22,25
2023-01-29,29
2023-02-05,31
2023-02-12,25
2023-02-19,34
2023-02-26,41
2023-03-05,36
2023-03-12,36
2023-03-19,31
2023-03-26,34
2023-04-02,40
2023-04-09,41
2023-04-16,40
2023-04-23,39
2023-04-30,37
2023-05-07,42
2023-05-14,40
2023-05-21,43
2023-05-28,43
2023-06-04,44
2023-06-11,40
2023-06-18,33
2023-06-25,28
2023-07-02,32
2023-07-09,26
2023-07-16,26
2023-07-23,27
2023-07-30,24
2023-08-06,24
2023-08-13,23
2023-08-20,25
2023-08-27,26
2023-09-03,31
2023-09-10,29
2023-09-17,26
2023-09-24,27
2023-10-01,27
2023-10-08,30
2023-10-15,23
2023-10-22,26
2023-10-29,26
2023-11-05,24
2023-11-12,26
2023-11-19,24
2023-11-26,24
2023-12-03,19
2023-12-10,20
2023-12-17,16
2023-12-24,16
2023-12-31,16
2024-01-07,21
2024-01-14,21
2024-01-21,14
2024-01-28,13
2024-02-04,18
2024-02-11,15
2024-02-18,22
2024-02-25,26
2024-03-03,31
2024-03-10,31
2024-03-17,32
2024-03-24,32
2024-03-31,33
2024-04-07,35
2024-04-14,35
2024-04-21,40
